course_code,title,department,course_number,description,credits,prerequisites_raw,catalog_year,calendar_system,source_url,scraped_at,has_description,has_title,recommendable
CS277,Algorithms and Analysis,CS,277,"Introduces foundational concepts in Computer Science theory, including computability, decidability, the Turing Machine, and algorithmic complexity. Applies concepts underlying graph theory and automata to current topics in computing to create contextualized connections between theory and practice.",3.0,CS 260 [Min Grade: C] and CS 270 [Min Grade: C] and MATH 221 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131329+00:00,True,True,True
CS281,Systems Architecture,CS,281,"Covers internal function and organization of digital computers, including instruction sets, addressing methods, input-output architectures, central processor organization, machine language, and assembly language.",4.0,(CS 270 [Min Grade: C] or ECE 200 [Min Grade: D]) and (CS 172 [Min Grade: C] or ECEC 201 [Min Grade: D] or ECE 105 [Min Grade: D]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131351+00:00,True,True,True
CS283,Systems Programming,CS,283,"This course introduces computer systems, including interaction of hardware and software through the operating system, from the programmer's perspective. Three fundamental abstractions are emphasized: processes, virtual memory, and files. These abstractions provide programmers a common interface to a wide variety of hardware devices. Topics covered include linking, system level I/O, concurrent programming, and network programming.",3.0,CS 265 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131372+00:00,True,True,True
CS300,Applied Symbolic Computation,CS,300,"This course covers the fundamentals of symbolic mathematical methods as embodied in symbolic mathematics software systems, including: fundamental techniques, simplification of expressions, solution of applications problems, intermediate expressions swell, basic economics of symbolic manipulation, efficient solution methods for large problems, hybrid symbolic/numeric techniques.",3.0,CS 260 [Min Grade: C] and CS 270 [Min Grade: C] and MATH 200 [Min Grade: C] and (MATH 201 [Min Grade: C] or ENGR 231 [Min Grade: C]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131394+00:00,True,True,True
CS303,Algorithmic Number Theory and Cryptography,CS,303,"Covers fundamental algorithms for integer arithmetic, greatest common divisor calculation, modular arithmetic, and other number theoretic computations. Algorithms are derived, implemented and analyzed for primality testing and integer factorization. Applications to cryptography are explored including symmetric and public-key cryptosystems. A cryptosystem will be implemented and methods of attack investigated.",3.0,CS 260 [Min Grade: C] and (MATH 221 [Min Grade: C] or MATH 222 [Min Grade: C]) and (MATH 201 [Min Grade: C] or ENGR 231 [Min Grade: D]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131415+00:00,True,True,True
CS314,Computing in the Small,CS,314,Explores the technologies and techniques associated with microcontrollers and Systems on Chips (SOCs) as well as their use in embedded systems. A major focus is on developing software to control input and output devices.,3.0,CS 283 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131435+00:00,True,True,True
CS345,Computer Game Design and Development,CS,345,"This course introduces students to the computer game design process. Students also learn how the individual skills of modeling, animation, scripting, interface design and story telling are coordinated to produce interactive media experiences for various markets, devices and purposes.",3.0,CS 265 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131455+00:00,True,True,True
CS352,Processor Architecture & Analysis,CS,352,"This course covers performance evaluation and benchmarking, pipelining, superscalar processors, multiprocessors, and interfacing processors and peripherals. The memory hierarchy, including cache and virtual memory, are also explored from a programmer's perspective with high-performance computing techniques in mind.",3.0,CS 281 [Min Grade: C] or ECEC 355 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131476+00:00,True,True,True
CS360,Programming Language Concepts,CS,360,"Introduces the design and implementation of modern programming languages: formal theory underlying language implementation; concerns in naming, binding, storage allocation and typing; semantics of expressions and operators, control flow, and subprograms; procedural and data abstraction; functional, logic, and object-oriented languages. Students will construct an interpreter for a nontrivial language.",3.0,CS 260 [Min Grade: C] and CS 265 [Min Grade: C] and CS 270 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131498+00:00,True,True,True
CS361,Concurrent Programming,CS,361,"Covers programming of concurrent, cooperating sequential processes. Studies race conditions, critical sections, mutual exclusion, process synchronization, semaphores, monitors, message passing, the rendezvous, deadlock, and starvation.",3.0,CS 260 [Min Grade: C] and (CS 281 [Min Grade: C] or ECEC 355 [Min Grade: D]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131521+00:00,True,True,True
CS370,Operating Systems,CS,370,"Explores the internal algorithms and structures of operating systems: CPU scheduling, memory management, file systems, and device management. Considers the operating system as a collection of cooperating sequential processes (servers) providing an extended or virtual machine that is easier to program than the underlying hardware. Topics include virtual memory, input/output devices, disk request scheduling, deadlocks, file allocation, and security and protection.",3.0,CS 283 [Min Grade: C] or ECEC 353 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131542+00:00,True,True,True
CS375,Web Development,CS,375,"Introduction to web development with a focus on programming full-stack web applications. Covers front-end topics like HTML, CSS, and client-side JavaScript, and back-end topics like web servers and databases.",3.0,CS 265 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131562+00:00,True,True,True
CS377,Software Security,CS,377,"An introduction to foundational systems concepts underpinning the broad area of software security. Topics covered include access control, software vulnerabilities such as buffer overflows and race conditions, insecurity in software, cryptocurrency, malware, and operating systems security.",3.0,CS 283 [Min Grade: C] or ECEC 353 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131583+00:00,True,True,True
CS380,Artificial Intelligence,CS,380,"Explores the foundations of artificial intelligence, including overviews of problem solving, basic and adversarial search, logical agents, natural language processing, machine learning, reinforcement learning, neural networks, deep learning, generative AI, and related special topics, along with their applications to real-world problems.",3.0,CS 260 [Min Grade: C] and CS 270 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131605+00:00,True,True,True
CS383,Machine Learning,CS,383,"This course covers the fundamentals of modern statistical machine learning. Lectures will cover the theoretical foundation and algorithmic details of representative topics including probabilities and decision theory, regression, classification, graphical models, mixture models, clustering, expectation maximization, hidden Markov models, and weak learning.",3.0,CS 260 [Min Grade: C] and (MATH 201 [Min Grade: C] or ENGR 231 [Min Grade: D]) and (MATH 221 [Min Grade: C] or MATH 222 [Min Grade: C]) and (MATH 311 [Min Grade: C] or MATH 410 [Min Grade: C] or ECE 361 [Min Grade: D]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131625+00:00,True,True,True
CS385,Evolutionary Computing,CS,385,"This course covers computational intelligence approaches to problem solving for classification, adaptation, optimization, and automated control. Methods covered will include evolutionary programming/genetic algorithms, genetic programming, neural networks, swarm optimization, and fuzzy logic.",3.0,CS 260 [Min Grade: C] and CS 380 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131646+00:00,True,True,True
CS387,Game AI Development,CS,387,"This course focuses on artificial intelligence (AI) techniques for computer games. Students will learn both basic and advanced AI techniques that are used in a variety of game genres including first-person shooters, driving games, strategy games, platformers, etc. The course will emphasize the difference between traditional AI and game AI, the latter having a strong design component, focusing on creating games that are “fun to play.” Topics include path-finding, decision-making, strategy and machine learning in games.",3.0,CS 260 [Min Grade: C] and CS 380 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131667+00:00,True,True,True
CS417,Reinforcement Learning,CS,417,"Reinforcement Learning (RL) has emerged as a powerful paradigm for creating intelligent, autonomous agents capable of learning from their interactions with the environment. This course provides a comprehensive understanding of key theoretical concepts, and students will learn about the core challenges and approaches, including generalization and exploration. Through a combination of theoretical lectures and hands-on coding projects, students will learn key concepts in RL, including MDPs, dynamic programming, deep RL, and the latest advances in model-based and model-free RL algorithms.",3.0,CS 380 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131688+00:00,True,True,True
CS429,Software Defined Radio Laboratory,CS,429,"This laboratory course takes a Software-Defined Radio (SDR) implementation approach to learn about modern analog and digital communication systems. Software defined radio uses general purpose radio hardware that can be programmed in software to implement different communication standards. We will begin by discussing the basic principles of wireless radio frequency transmissions and leverage this knowledge to build analog and digital communication systems. Knowledge of these techniques and systems will provide a platform that can be used in the class project for further exploration of wireless networking topics such as cybersecurity, cognitive radio, smart cities, and the Internet of Things.",3.0,(CS 260 [Min Grade: C] and CS 265 [Min Grade: C] and CS 270 [Min Grade: C]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131709+00:00,True,True,True
CS430,Computer Graphics,CS,430,"The course presents the fundamental geometric representations and drawing algorithms of computer graphics through lectures and programming assignments. The representations include lines, curves, splines, polygons, meshes, parametric surfaces and solids. The algorithms include line drawing, curve and surface evaluation, polygon filling, clipping, 3D-to-2D projection and hidden surface removal.",3.0,CS 260 [Min Grade: C] and (MATH 201 [Min Grade: C] or MATH 261 [Min Grade: C] or ENGR 231 [Min Grade: D]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131730+00:00,True,True,True
CS432,Interactive Computer Graphics,CS,432,"This is a project-oriented class that covers the concepts and programming details of interactive computer graphics. These include graphics primitives, display lists, picking, shading, rendering buffers and transformations. Students will learn an industry-standard graphics system by implementing weekly programming assignments. The course culminates with a student-defined project.",3.0,CS 260 [Min Grade: C] and (MATH 201 [Min Grade: C] or MATH 261 [Min Grade: C] or ENGR 231 [Min Grade: D]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131751+00:00,True,True,True
CS435,Computational Photography,CS,435,"Fundamentals of computational photography, an interdisciplinary field at the intersection of computer vision, graphics, and photography. Covered topics include fundamentals of cameras, novel camera designs, image manipulation, single-view modeling, and image-based rendering with an emphasis on learning the computational methods and their underlying mathematical concepts through hands-on assignments.",3.0,CS 260 [Min Grade: C] and (MATH 201 [Min Grade: C] or MATH 261 [Min Grade: C] or ENGR 231 [Min Grade: D]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131771+00:00,True,True,True
CS438,Game Engine Programming,CS,438,"The goal of this course is to learn the general principles and techniques required to build a game engine from scratch. The course covers basic programming techniques for games, but without focusing on any specific programming language nor platform. Topics include game engine architecture, game loops, real-time 2D and 3D rendering, collision detection, input handling, networking, animation, scripting, Game AI, and 2D and 3D physics simulation. Additionally, students will also gain knowledge of existing game engines.",3.0,CS 260 [Min Grade: C] and (MATH 201 [Min Grade: C] or ENGR 231 [Min Grade: C]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131792+00:00,True,True,True
CS440,Theory of Computation,CS,440,"Finite automata, regular sets, and regular expressions; pushdown automata, context-free languages, and normal forms for grammars; Turing machines and recursively enumerable sets; Chomsky hierarchy; computability theory.",3.0,CS 270 [Min Grade: C] and (MATH 221 [Min Grade: C] or MATH 222 [Min Grade: C]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131813+00:00,True,True,True
CS441,Compiler Implementation,CS,441,"Covers the fundamentals of optimizing compilers and code generation, including compiler intermediate representations, basic compiler optimizations, program analyses to enable optimizations (such as value numbering), and generation of efficient code (register allocation and instruction selection).",3.0,CS 281 [Min Grade: C] or ECE 350 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131833+00:00,True,True,True
CS455,Computational Network Neuroscience,CS,455,"This course provides a broad introduction to computational network neuroscience, also known as connectomics, which is an interdisciplinary field between medicine, neuroscience, machine learning, and graph theory to students coming from a computing background. Processing of neuroimaging data to obtain brain networks, its analysis using basic statistical methods as well as advanced machine learning techniques, with applications on healthy and various patient populations will be covered. After taking the course, the student will become prepared for a postgraduate level research experience in the burgeoning field of connectomics.",3.0,CS 172 [Min Grade: C] or CS 175 [Min Grade: C] or ENGR 132 [Min Grade: D] or BMES 202 [Min Grade: D] or BIO 331 [Min Grade: D] or PBHL 211 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131855+00:00,True,True,True
CS457,Data Structures and Algorithms I,CS,457,"This course covers techniques for analyzing algorithms, including: asymptotic analysis, recurrence relations, and probabilistic analysis; data structures such as hash tables and binary trees; algorithm design techniques such as dynamic programming, greedy methods, and divide & conquer, as well as graph algorithms for graph traversal, minimum spanning trees, and shortest paths.",4.0,CS 260 [Min Grade: C] and CS 270 [Min Grade: C] and CS 277 [Min Grade: C] and (MATH 221 [Min Grade: C] or MATH 222 [Min Grade: C]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131875+00:00,True,True,True
CS458,Data Structures and Algorithms II,CS,458,This course covers the amortized analysis of algorithms and data structures; Fibonacci heaps; graph algorithms for maximizing network flow and computing minimum all pairs shortest paths; string matching algorithms; NP-Completeness and approximation algorithms.,3.0,CS 457 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131895+00:00,True,True,True
CS461,Database Systems,CS,461,"Covers topics including structure and function of database systems, normal form theory, data models (relational, network, and hierarchical), query processing (ISBL), relational algebra and calculus, and file structures. Includes programming project using DBMS.",3.0,CS 260 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131937+00:00,True,True,True
CS463,Cloud Native Platform Engineering,CS,463,"Introduction to various aspects of software design, development and architecture used to create modern cloud computing software products, that run cost-effectively at scale. Focus will be placed on covering software engineering concepts, techniques and technologies used to build and deploy applications that run at scale on cloud infrastructure. Key topics include cloud native platform engineering concepts such as developing and deploying infrastructure to support a modern API-based application in the cloud.",3.0,CS 283 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131957+00:00,True,True,True
CS465,Privacy and Trust,CS,465,"This course will motivate the need for privacy protection and introduce basic privacy properties such as anonymity, unlinkability or unobservability. We will then discuss how these properties can be formalized, modeled and measured. The course will provide a broad overview of the state-of-the-art in privacy technologies, explain the main issues that these technologies address, what the current solutions are able to achieve, and the remaining open problems.",3.0,CS 265 [Min Grade: C] and CS 270 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131978+00:00,True,True,True
CS472,"Computer Networks: Theory, Applications and Programming",CS,472,"Introduction to computer networking theory, applications and programming, focusing on large heterogeneous networks. Broad topdown introductions to computer networking concepts including distributed applications, socket programming, operation system and router support, router algorithms, and sending bits over congested, noisy and unreliable communication links.",3.0,CS 361 [Min Grade: D] or CS 283 [Min Grade: C] or ECEC 353 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131998+00:00,True,True,True
CS475,Network Security,CS,475,"An introduction to foundational systems concepts underpinning the specialized area of network security. Focus to be given to security issues pertaining to the Data Link, Network, and Transport layers of the network stack. Topics include packet sniffing and spoofing, as well as MAC, IP, ICMP, TCP, and UDP attacks.",3.0,CS 472 [Min Grade: D] or CS 283 [Min Grade: C] or ECEC 353 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.132018+00:00,True,True,True
CS476,High Performance Computing,CS,476,"This course is an introduction to high performance computing, including concepts and applications. Course contents will include discussions of different types of high performance computer architectures (multi-core/multi-threaded processors, parallel computers, etc), the design, implementation, optimization and analysis of efficient algorithms for uni-processors, multi-threaded processors, parallel computers, and high performance programming.",3.0,(CS 281 [Min Grade: C] and CS 283 [Min Grade: C]) or (ECEC 353 [Min Grade: D] and ECEC 355 [Min Grade: D]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.132038+00:00,True,True,True
CS478,Advanced Web Development,CS,478,"Deeper dive into web development with a focus on programming full-stack web applications. Topics may include front-end frameworks, API architecture, authentication, deployment, security, and testing.",3.0,CS 375 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.132059+00:00,True,True,True
CS479,Advanced Network Security,CS,479,"A treatment of advanced systems concepts underpinning the specialized area of network security. Focus to be given to security issues pertaining to the Application layer of the network stack. Topics include security attacks on Firewalls and DNS, as well as attacks on Web Applications such as Cross-Site Request Forgery, Cross-Site Scripting, and SQL Injection.",3.0,CS 475 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.132079+00:00,True,True,True
CS481,Advanced Artificial Intelligence,CS,481,"This course covers topics in representation, reasoning, and decision-making under uncertainty; learning; solving problems with time-varying properties. Assignments applying AI techniques toward building intelligent machines that interact with dynamic, uncertain worlds will be given.",3.0,CS 380 [Min Grade: D] and (MATH 311 [Min Grade: D] or MATH 410 [Min Grade: D] or ECE 361 [Min Grade: D]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.132099+00:00,True,True,True
CS482,Robust Machine Learning,CS,482,"This course introduces students to the understanding about the robustness and vulnerability of current state-of-the-art machine learning systems. Lectures will cover the theoretical foundation and algorithmic details of different types of adversarial attack and defense methods accordingly on multiple machine learning tasks including image classification, object detection, natural language processing, etc. Students will understand the intriguing property of deep learning systems and know the significance of robust and trustworthy machine learning.",3.0,CS 380 [Min Grade: C] or CS 383 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.132120+00:00,True,True,True
CS486,Topics in Artificial Intelligence,CS,486,"A variety of special topics are offered in artificial intelligence (AI) including: intelligent time-critical reasoning, knowledge-based agents, machine learning, natural language processing, and geometric reasoning. This course may be repeated for credit as topics vary.",3.0,CS 380 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.132142+00:00,True,True,True
ECEC201,Advanced Programming for Engineers,ECEC,201,This course will cover advanced usage and understanding of programming concepts using the C programming language within a Linux development environment. C will serve as a foundation for future embedded firmware and system level software authorship as well as a means to better understand the underlying program execution model and memory organization used by modern computing systems.,3.0,ENGR 131 [Min Grade: D] or ENGR 132 [Min Grade: D] or ECE 203 [Min Grade: D] or CS 171 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/ecec/,2026-09-19T10:53:06.331509+00:00,True,True,True
ECEC204,Design with Microcontrollers,ECEC,204,"Offers hands-on experience in the design of controllers that incorporate microcontrollers as an embedded component in a larger system. The microcomputer topics to be studied will include architecture, software, programming and interfaces.",3.0,(ECE 200 [Min Grade: D] or CS 270 [Min Grade: D]) and (ECEC 201 [Min Grade: D] or ECEC 301 [Min Grade: D]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/ecec/,2026-09-19T10:53:06.331547+00:00,True,True,True
ECEC302,Digital Systems Projects,ECEC,302,"Studies the theory of digital system design and the topdown design methodology using hardware description language and software tools for simulation, synthesis and Field Programmable Gate Array (FPGA) implementation.",3.0,(ECE 105 [Min Grade: D] or CS 172 [Min Grade: D] or ECE 203 [Min Grade: D]) and (ECE 200 [Min Grade: D] or CS 270 [Min Grade: D]),2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/ecec/,2026-09-19T10:53:06.331575+00:00,True,True,True
ECEC353,Systems Programming,ECEC,353,"This course introduces computer systems, including interaction of hardware and software through the operating system, from the programmer's perspective. Three fundamental abstractions are emphasized: processes, virtual memory, and files. These abstractions provide programmers a common interface to a wide variety of hardware devices. Topics covered include linking, system level I/O, concurrent programming, and network programming.",3.0,CS 265 [Min Grade: D] or ECEC 201 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/ecec/,2026-09-19T10:53:06.331598+00:00,True,True,True
ECEC355,Computer Organization & Architecture,ECEC,355,"This course will cover the principles of designing microprocessors using solid engineering fundamentals and quantitative cost/performance trade-offs. Topics will cover computer performance from hardware and software perspective, instruction set architectures focusing on RISC-V, arithmetic for computers, processor datapath and control, single cycle microarchitectures, and pipeline architectures. The course will introduce issues in pipeline design and techniques to solve these issues.",3.0,ECEC 201 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/ecec/,2026-09-19T10:53:06.331621+00:00,True,True,True
ECEC356,Embedded Systems,ECEC,356,"Lectures will cover theoretical concepts of embedded and cyber‐physical systems including discrete and continuous dynamics, hybrid systems, state machines, concurrent computation, embedded systems architecture and scheduling. Lab involves programming embedded applications for the decentralized software services architecture using C# and the Microsoft Robotics Software Development Kit (SDK) together with the hardware image processing and tracking capabilities of the Kinect sensor.",4.0,ECEC 204 [Min Grade: D] or ECEC 304 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/ecec/,2026-09-19T10:53:06.331643+00:00,True,True,True
ECEC357,Introduction to Computer Networks,ECEC,357,"History of the Internet; introduction to packet switching, circuit switching and virtual circuit switching; statistical multiplexing; protocol layering; metrics of network performance including bandwidth, delay and loss; medium access protocols and Ethernet; routing algorithms; end-to-end issues; flow and congestion control; an overview of application layer protocols.",3.0,ECE 105 [Min Grade: D] or ECEC 201 [Min Grade: D] or CS 171 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/ecec/,2026-09-19T10:53:06.331665+00:00,True,True,True
ECEC402,Digital System Projects Embedded Design,ECEC,402,"A project-based course on real-time applications using Field Programmable Gate Array (FPGA), embedded processors (software), IP (Intellectual Property) cores library and custom IP cores.",3.0,ECEC 302 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/ecec/,2026-09-19T10:53:06.331690+00:00,True,True,True
